movie_name,year
Halloween ,2018
Ernest Scared Stupid ,1991
Get Out ,2017
Pet Sematary ,1989
Return to Halloweentown ,2006
Us ,2019
Casper Meets Wendy ,1998
Brightburn ,2019
Trick 'r Treat ,2009
The Nun ,2018
House on Haunted Hill ,1958
Goosebumps ,2015
Clue ,1985
The Ring ,2002
Coraline ,2009
Paranormal Activity ,2007
Little Shop of Horrors ,1986
Double Double Toil and Trouble ,1993
Sleepy Hollow ,1999
A Quiet Place ,2018
A Nightmare on Elm Street ,1984
The Haunted Mansion ,2003
The Witches ,1990
Monster House ,2006
"E.T,The Extra-Terrestrial ",1982
Practical Magic ,1998
Hotel Transylvania ,2012
The Craft ,1996
Scooby-Doo ,2002
The Exorcist ,1973
,1973
,1973
,1973
,1973
,1973
,1973
,1973
,1973
,1973
,1973
,1973
,1973
,1973
,1973
,1973
,1973
,1973
,1973
,1973
,1973
