movie_name,year
Scream ,1996
"It's the Great Pumpkin, Charlie Brown ",1966
Get Out ,2017
Beetlejuice ,1988
Halloween ,1978
Edward Scissorhands ,1990
Ghostbusters ,1984
Carrie ,2013
The Exorcist ,1973
Hocus Pocus ,1993
Child's Play ,1998
Mother! ,2017
Casper ,1995
Rocky Horror Picture Show ,1975
The Blair Witch Project ,1999
The Craft ,1996
Paranormal Activity ,2007
"Double, Double, Toil and Trouble ",1993
Practical Magic ,1998
Halloweentown ,1998
The Sixth Sense ,1999
Tim Burton's The Nightmare Before Christmas ,1993
The Witches of Eastwick ,1987
Death Becomes Her ,1992
Sleepy Hollow ,1999
Bram Stoker's Dracula ,1992
The Silence of the Lambs ,1991
Halloween ,2018
Ernest Scared Stupid ,1991
Get Out ,2017
Pet Sematary ,1989
Return to Halloweentown ,2006
Us ,2019
Casper Meets Wendy ,1998
Brightburn ,2019
Trick 'r Treat ,2009
The Nun ,2018
House on Haunted Hill ,1958
Goosebumps ,2015
Clue ,1985
The Ring ,2002
Coraline ,2009
Paranormal Activity ,2007
Little Shop of Horrors ,1986
Double Double Toil and Trouble ,1993
Sleepy Hollow ,1999
A Quiet Place ,2018
A Nightmare on Elm Street ,1984
The Haunted Mansion ,2003
The Witches ,1990
Monster House ,2006
"E.T,The Extra-Terrestrial ",1982
Practical Magic ,1998
Hotel Transylvania ,2012
The Craft ,1996
Scooby-Doo ,2002
The Exorcist ,1973
Harry Potter ,2001
It ,2017
Carrie ,1976
Gremlins ,1984
Edward Scissorhands ,1990
Ghostbusters ,1984
Corpse Bride ,2005
Young Frankenstein ,1974
Scream ,1996
Buffy the Vampire Slayer ,1992
Hocus Pocus ,1993
Casper ,1995
The Addams Family ,1991
The Nightmare Before Christmas ,1993
Halloween ,1978
Beetlejuice ,1988
"It's a Great Pumpkin, Charlie Brown ",1966
The Shining ,1980
Halloweentown ,1998
The Sixth Sense ,1999
The Texas Chain Saw Massacre ,1974
Suspiria ,1977
Poltergeist ,1982
The Thing ,1982
Hereditary ,2018
Get Out ,2017
Alien ,1979
Freaks ,1932
The Shining ,1980
28 Days Later ,2002
The Exorcist ,1973
Creepshow ,1982
Mulholland Drive ,2001
Halloween ,1978
The Conjuring ,2013
An American Werewolf in London ,1981
A Nightmare on Elm Street ,1984
Night of the Living Dead ,1968
The Babadook ,2014
Rosemary's Baby ,1968
Dawn of the Dead ,1978
The Ring ,2002
Jaws ,1975
Eyes Without a Face ,1960
The Fly ,1986
Psycho ,1960
Invasion of the Body Snatchers ,1978
Audition ,1999
Final Destination 3 ,2006
The Descent ,2005
In My Skin ,2002
Black Christmas ,1974
The Blair Witch Project ,1999
Hereditary
A Quiet Place
The Babadook
The Descent
It Follows
Get Out
Goodnight Mommy
Eyes Without a Face
Last House on the Left
Rosemary's Baby
The House of the Devil
The Exorcist
The Exorcist
Night of the Living Dead 
Halloween
The Shining
A Nightmare on Elm Street
Alien
The Texas Chainsaw Massacre
Psycho
The Thing
Audition
Let the Right One In
The Host
Henry: Portrait of a Serial Killer
Carrie 
Don't Look Now
The Ring 
The Blair Witch Project
Drag Me to Hell
Orphan
Suspiria 
Slither
The Witch
It 
Nosferatu
Invasion of the Body Snatchers 
Raw
Don't Breathe
Unsane
