movie_name,year
The Texas Chain Saw Massacre ,1974
Suspiria ,1977
Poltergeist ,1982
The Thing ,1982
Hereditary ,2018
Get Out ,2017
Alien ,1979
Freaks ,1932
The Shining ,1980
28 Days Later ,2002
The Exorcist ,1973
Creepshow ,1982
Mulholland Drive ,2001
Halloween ,1978
The Conjuring ,2013
An American Werewolf in London ,1981
A Nightmare on Elm Street ,1984
Night of the Living Dead ,1968
The Babadook ,2014
Rosemary's Baby ,1968
Dawn of the Dead ,1978
The Ring ,2002
Jaws ,1975
Eyes Without a Face ,1960
The Fly ,1986
Psycho ,1960
Invasion of the Body Snatchers ,1978
Audition ,1999
Final Destination 3 ,2006
The Descent ,2005
In My Skin ,2002
Black Christmas ,1974
The Blair Witch Project ,1999
